route_id,stop_id,stop_name,stop_lat,stop_lon
142,146,Najafgarh Terminal,28.614614,76.978024
142,148,Jharoda Crossing,28.61448074,76.98106202
142,149,Health Centre,28.61415,76.985217
142,488,NajafGarh Delhi Gate,28.611746,76.985721
142,233,Police Station NajafGarh,28.61031861,76.98133766
142,915,Dhansa Stand,28.61149114,76.97790955
142,916,Khera More,28.610938,76.97401
142,2161,Krishna Nagar / Gopal Nagar,28.606425,76.972858
142,2162,Khera Village,28.5987726,76.96698094
142,3569,Khera Village 2,28.596347,76.965226
142,2163,KharKhari Nahar / Khera Dabur,28.586969,76.959227
142,2164,Surhera Crossing,28.58215173,76.95808206
142,2165,Pandwala Crossing,28.573848,76.952387
142,2166,KharKhari Rondh,28.561696,76.941952
142,2167,Hasanpur Village,28.556475,76.936796
142,2168,Devta Wala Mandir,28.548826,76.930857
142,2169,Ghuman Hera More / Shikarpur Crossing,28.536825,76.922412
142,2170,Ghuman Hera Village Main Road,28.5326827,76.9196563
142,2171,Ghuman Hera DTC Depot Crossing,28.534088,76.915012
142,2172,Jhul-Jhuli Check Post / Ghumanhera Crossing,28.5352,76.909367
142,2173,Jhuljhuli Crossing,28.53162,76.907067
142,2174,Rawta Village,28.526609,76.903562
142,2175,Amrawati Piyau Galib Pur Road,28.5253328,76.8874616
142,2176,Galib Pur Piyau,28.531301,76.883663
142,2177,Galib Pur Village,28.529556,76.881142
233,4495,Bawana JJ Colony,28.80887,77.05374
233,21,Bawana JJ Colony CRPF Camp,28.806738,77.048163
233,1145,DSIDC Bawana Sec 2,28.803302,77.042627
233,1146,Bawana Soap Factory,28.8018412,77.03929
233,1147,Bawana Dispensary,28.80095,77.03738
233,1148,Bawana Village Chowk,28.799973,77.03552
233,1914,Bawana School,28.796282,77.035817
233,1915,Aditi College Bawana,28.7942,77.0368
233,1916,DSIDC Bawana/ Dhakewala,28.78585,77.0414
233,22516,DSIDC Office Bawana,28.7804,77.044017
233,1918,Maharishi Valmiki Hospital,28.775033,77.047683
233,1919,Poothkhurd Village,28.772383,77.048967
233,1920,Sultan Pur Crossing / Poothkhurd,28.767867,77.049417
233,1921,Poothkhurd Firni Road,28.764589,77.054957
233,1922,Barwala Village,28.760383,77.060717
233,1923,Barwala School,28.759233,77.062833
233,3985,Rohini Sec 35,28.757463,77.066964
233,1924,Jain Colony,28.7539,77.072883
233,1925,Prehladpur School,28.75305,77.07475
233,1926,Prehladpur Village,28.7512,77.080967
233,1927,Prehladpur Crossing,28.749319,77.084811
233,2937,Krishna Colony,28.746817,77.087767
233,2938,Deep Vihar,28.737876,77.083138
233,2939,Prehlad Vihar (Deep Vihar) Rohini Sec 25,28.735182,77.086984
233,22517,Rohini Sec 24 Dear Satguru Sewaram Crossing,28.72821709,77.09256598
233,22518,Hanuman Mandir Rohini Sec 24,28.722883,77.087733
233,2941,Power House Rohini Sec 24,28.726983,77.080267
233,2942,Rohini Sec 20/21/22 Crossing,28.719975,77.069
233,981,Rohini Sec-21,28.7188,77.069767
233,4484,District Park Sector 20,28.7062153,77.0709036
233,3607,Sultanpuri Terminal,28.70313785,77.0752384
233,2538,Sultanpuri C Block,28.70095,77.0754
233,2539,Sultanpuri D Block,28.6996,77.0753
233,2540,Jalebi Chowk Sultan Puri AB Block,28.6955,77.0738
233,3608,Sultan Puri AB Block,28.6935,77.073
233,2541,Sultan Puri AB Block Extension,28.69306,77.0775
233,4235,S Block Mangol Puri,28.692667,77.082583
233,4236,Chhath Park Mangol Puri,28.692583,77.086783
233,4237,C Block Mangol Puri,28.692483,77.09145
233,4238,PS Mangol Puri,28.696733,77.092067
233,4485,D Block Mangol Puri (T),28.696577,77.095894
118,69,Kair Depot,28.618288,76.930672
118,1351,Mitraon Village,28.608237,76.947333
118,4347,Mitraon Village,28.60824048,76.9473751
118,374,Mitraon Crossing,28.608343,76.951668
118,375,Indra Service Station,28.608858,76.959974
118,376,Nanak Piyau,28.609487,76.967851
118,377,Prem Nursary,28.610354,76.971259
118,378,Khera More / Ghuman Hera Crossing,28.61113002,76.97445974
118,22519,Nazafgarh Dhansa More,28.612021,76.978565
118,379,Jharoda Crossing Jharoda Road,28.6137657,76.97936262
118,380,NajafGarh Terminal,28.61483116,76.97724911
67,752,Bawana Sec 1 Cluster Depot,28.79500536,77.04113605
67,22520,Bawana JJ Colony CRPF Camp,28.806989,77.047994
